     201
5       2   9       1           0.2625    2.73872476     1.6971111
105     2   8       1           0.0875    2.39937356    3.10694306
205     2   5       1            0.175    1.03543926    2.77058879
305     2   12      1             0.35    1.75231001    0.28048048
405     2   5       1            0.175    2.41545408    0.81316926
505     2   1       1            0.175    6.46607763    2.51925807
605     2   4       1           0.2625    5.98719259    1.91893667
705     2   7       2           0.0875    4.06922616     1.6875805
805     2   8       2            0.175    2.46342854    0.88921566
905     2   12      1           0.6125    2.25273344    1.90926924
1005    2   7       2            0.175    1.46876811    2.36850161
1105    2   11      2             0.35   17.40305271    1.59063825
1205    2   7       2           0.0875    8.93472455    0.40151307
1305    1   12      2            1.575             6             0
1405    2   6       1           0.0875    5.49608212    1.60753358
1505    2   6       1           0.0875    1.57988526     2.2511961
1605    2   4       1            0.175    4.73514494      3.109757
1705    2   12      2           0.0875    3.52819065    2.26354279
1805    2   7       2           0.0875    7.25835531    1.63649752
1905    2   11      2            0.175     1.4978455     3.1043453
2005    2   6       1           0.0875    1.14544486    1.78544757
2105    2   12      1           0.0875    1.45551191    0.67351553
2205    2   2       1           0.0875    7.19356268    1.97027255
2305    2   8       1           0.0875    5.19199638    1.70252019
2405    2   7       2           0.0875   19.95499599    1.84727019
2505    2   10      1            0.175   10.86200144    0.95223973
2605    2   7       2           0.2625    1.11584644    0.31508836
2705    2   7       2            0.175     4.3257672    3.10413217
2805    2   9       2           0.0875    3.55901177     0.7019025
2905    2   7       2           0.0875    4.33885171    1.44818471
3005    2   7       2           0.0875    4.23456232    2.23249926
3105    2   10      1           0.0875    1.47319754    2.38893378
3205    2   7       2           0.0875    4.28146731    1.65616496
3305    2   2       1            0.175    1.48000513    1.39190122
3405    1   12      2           0.2625             2             0
3505    2   12      2           0.0875    9.50943674    0.41612676
3605    2   8       1           0.2625    4.54908891    0.58036643
3705    2   11      1           0.0875    1.27846953     2.7015453
3805    2   4       1            0.175   16.77309006    3.27960232
3905    2   7       2           0.2625    1.60252584    0.64596155
4005    2   8       2            0.175    1.34663025    3.32665015
4105    2   8       2            0.525    5.13943405    1.73098556
4205    2   7       2           0.0875   18.42477381     1.1383637
4305    2   10      2            0.175   19.20089057    1.77456491
4405    2   7       2           0.0875    9.80990996    3.01695532
4505    2   11      1           0.0875    8.54816443    3.37169787
4605    2   10      1           0.4375   11.80916803     3.1541799
4705    2   1       1           0.0875    6.46931559    2.24203615
4805    2   7       2           0.0875       2.88057    1.23294094
4905    2   7       2           0.0875    5.76008255     1.6113424
5005    2   10      2            0.175    1.90306579    2.71842072
5105    2   7       2           0.0875    5.00720601    3.32932787
5205    2   7       2             0.35     1.6593086    2.48228114
6000    1   1       1             0.70            99             0
